condimentsPurchased	HH_SouthSudan		true	Food_Condiments	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon	Ord_HHID_NOORD	Ord_CONEXP_NOORD
pulsesPurchasedCash	HH_SouthSudan		true	Food_Pulses	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
pulsesPurchasedCredit	HH_SouthSudan		true	Food_Pulses	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
pulsesNonPurchased	HH_SouthSudan		true	Food_Pulses	Nutrition_All	Type_Expended	Source_NonPurchased	Purchase_NonPurchased	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
dairyPurchasedCash	HH_All		true	Food_Dairy	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
dairyPurchasedCashCredit	HH_All		true	Food_Dairy	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit_CashCredit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
dairyPurchasedInKindCredit	HH_All		true	Food_Dairy	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit_inKindCredit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
sugarsPurchasedCash	HH_All		true	Food_Sugars	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
sugarsPurchasedCredit	HH_All		true	Food_Sugars	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
condimentsPurchasedCash	HH_All		true	Food_Condiments	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
condimentsPurchasedCredit	HH_All		true	Food_Condiments	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
saltPurchasedCash	HH_All		true	Food_Condiments_Salt	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
saltPurchasedCredit	HH_All		true	Food_Condiments_Salt	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesPurcahsedCash	HH_All		true	Food_Staples	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesPurcahsedCashCredit	HH_All		true	Food_Staples	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit_CashCredit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesPurcahsedInKindCredit	HH_All		true	Food_Staples	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit_inKindCredit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesNonPurchased	HH_All		true	Food_Staples	Nutrition_All	Type_Expended	Source_NonPurchased	Purchase_NonPurchased	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesSelfProduction	HH_All		true	Food_Staples	Nutrition_All	Type_Expended	Source_NonPurchased_SelfProduction	Purchase_NonPurchased	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
staplesConsume7d	HH_All		true	Food_Staples	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_NonPurchased	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
flourBasedPurchasedCredit	HH_All		true	Food_Staples_FlourBased	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
flourBasedPurchasedCash	HH_All		true	Food_Staples_FlourBased	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
cerealsPurchasedCash	HH_All		true	Food_Staples_Cereals	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
cerealsPurchasedCredit	HH_All		true	Food_Staples_Cereals	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
cerealsNonPurchased	HH_All		true	Food_Staples_Cereals	Nutrition_All	Type_Expended	Source_NonPurchased	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
